instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,time_category,day_name
1,2011-01-01,Musim Semi,0,1,0,0,6,Hari Libur,Cerah,0.24,0.2879,0.81,0.0,3,13,16,Malam,Sabtu
2,2011-01-01,Musim Semi,0,1,1,0,6,Hari Libur,Cerah,0.22,0.2727,0.8,0.0,8,32,40,Malam,Sabtu
3,2011-01-01,Musim Semi,0,1,2,0,6,Hari Libur,Cerah,0.22,0.2727,0.8,0.0,5,27,32,Malam,Sabtu
4,2011-01-01,Musim Semi,0,1,3,0,6,Hari Libur,Cerah,0.24,0.2879,0.75,0.0,3,10,13,Malam,Sabtu
5,2011-01-01,Musim Semi,0,1,4,0,6,Hari Libur,Cerah,0.24,0.2879,0.75,0.0,0,1,1,Malam,Sabtu
6,2011-01-01,Musim Semi,0,1,5,0,6,Hari Libur,Berawan,0.24,0.2576,0.75,0.0896,0,1,1,Pagi,Sabtu
7,2011-01-01,Musim Semi,0,1,6,0,6,Hari Libur,Cerah,0.22,0.2727,0.8,0.0,2,0,2,Pagi,Sabtu
8,2011-01-01,Musim Semi,0,1,7,0,6,Hari Libur,Cerah,0.2,0.2576,0.86,0.0,1,2,3,Pagi,Sabtu
9,2011-01-01,Musim Semi,0,1,8,0,6,Hari Libur,Cerah,0.24,0.2879,0.75,0.0,1,7,8,Pagi,Sabtu
10,2011-01-01,Musim Semi,0,1,9,0,6,Hari Libur,Cerah,0.32,0.3485,0.76,0.0,8,6,14,Pagi,Sabtu
11,2011-01-01,Musim Semi,0,1,10,0,6,Hari Libur,Cerah,0.38,0.3939,0.76,0.2537,12,24,36,Pagi,Sabtu
12,2011-01-01,Musim Semi,0,1,11,0,6,Hari Libur,Cerah,0.36,0.3333,0.81,0.2836,26,30,56,Pagi,Sabtu
13,2011-01-01,Musim Semi,0,1,12,0,6,Hari Libur,Cerah,0.42,0.4242,0.77,0.2836,29,55,84,Siang,Sabtu
14,2011-01-01,Musim Semi,0,1,13,0,6,Hari Libur,Berawan,0.46,0.4545,0.72,0.2985,47,47,94,Siang,Sabtu
15,2011-01-01,Musim Semi,0,1,14,0,6,Hari Libur,Berawan,0.46,0.4545,0.72,0.2836,35,71,106,Siang,Sabtu
16,2011-01-01,Musim Semi,0,1,15,0,6,Hari Libur,Berawan,0.44,0.4394,0.77,0.2985,40,70,110,Siang,Sabtu
17,2011-01-01,Musim Semi,0,1,16,0,6,Hari Libur,Berawan,0.42,0.4242,0.82,0.2985,41,52,93,Siang,Sabtu
18,2011-01-01,Musim Semi,0,1,17,0,6,Hari Libur,Berawan,0.44,0.4394,0.82,0.2836,15,52,67,Sore,Sabtu
19,2011-01-01,Musim Semi,0,1,18,0,6,Hari Libur,Hujan ringan,0.42,0.4242,0.88,0.2537,9,26,35,Sore,Sabtu
20,2011-01-01,Musim Semi,0,1,19,0,6,Hari Libur,Hujan ringan,0.42,0.4242,0.88,0.2537,6,31,37,Sore,Sabtu
21,2011-01-01,Musim Semi,0,1,20,0,6,Hari Libur,Berawan,0.4,0.4091,0.87,0.2537,11,25,36,Sore,Sabtu
22,2011-01-01,Musim Semi,0,1,21,0,6,Hari Libur,Berawan,0.4,0.4091,0.87,0.194,3,31,34,Malam,Sabtu
23,2011-01-01,Musim Semi,0,1,22,0,6,Hari Libur,Berawan,0.4,0.4091,0.94,0.2239,11,17,28,Malam,Sabtu
24,2011-01-01,Musim Semi,0,1,23,0,6,Hari Libur,Berawan,0.46,0.4545,0.88,0.2985,15,24,39,Malam,Sabtu
25,2011-01-02,Musim Semi,0,1,0,0,0,Hari Libur,Berawan,0.46,0.4545,0.88,0.2985,4,13,17,Malam,Minggu
26,2011-01-02,Musim Semi,0,1,1,0,0,Hari Libur,Berawan,0.44,0.4394,0.94,0.2537,1,16,17,Malam,Minggu
27,2011-01-02,Musim Semi,0,1,2,0,0,Hari Libur,Berawan,0.42,0.4242,1.0,0.2836,1,8,9,Malam,Minggu
28,2011-01-02,Musim Semi,0,1,3,0,0,Hari Libur,Berawan,0.46,0.4545,0.94,0.194,2,4,6,Malam,Minggu
